step,active_motive,motive_1,motive_2,motive_3,motive_4,motive_5,motive_6,motive_7,motive_8
0,,-0.25092,0.90143,0.46399,0.19732,-0.68796,-0.68801,-0.88383,0.73235
1,7,-0.2186,0.96643,0.53167,0.23732,-0.69128,-0.72301,1.0,0.72235
2,6,-0.20128,1.0,0.58435,0.26232,-0.7086,1.0,0.94732,0.69735
3,5,-0.16896,1.0,0.65203,0.30232,1.0,0.8,0.90864,0.68735
4,1,1.0,1.0,0.79071,0.41232,1.0,0.835,0.94096,0.74735
5,,0.93232,0.95,0.75839,0.38732,0.96768,0.785,0.87328,0.67235
6,,0.86464,0.9,0.72607,0.36232,0.93536,0.735,0.8056,0.59735
7,,0.79696,0.85,0.69375,0.33732,0.90304,0.685,0.73792,0.52235
8,,0.72928,0.8,0.66143,0.31232,0.87072,0.635,0.67024,0.44735
9,,0.6616,0.75,0.62911,0.28732,0.8384,0.585,0.60256,0.37235
10,,0.59392,0.7,0.59679,0.26232,0.80608,0.535,0.53488,0.29735
11,,0.52624,0.65,0.56447,0.23732,0.77376,0.485,0.4672,0.22235
12,,0.45856,0.6,0.53215,0.21232,0.74144,0.435,0.39952,0.14735
13,,0.39088,0.55,0.49983,0.18732,0.70912,0.385,0.33184,0.07235
14,,0.3232,0.5,0.46751,0.16232,0.6768,0.335,0.26416,-0.00265
15,8,0.39052,0.6,0.57019,0.23732,0.70948,0.335,0.26148,1.0
16,,0.32284,0.55,0.53787,0.21232,0.67716,0.285,0.1938,0.925
17,,0.25516,0.5,0.50555,0.18732,0.64484,0.235,0.12612,0.85
18,,0.18748,0.45,0.47323,0.16232,0.61252,0.185,0.05844,0.775
19,,0.1198,0.4,0.44091,0.13732,0.5802,0.135,-0.00924,0.7
20,7,0.15212,0.465,0.50859,0.17732,0.57688,0.1,1.0,0.69
21,,0.08444,0.415,0.47627,0.15232,0.54456,0.05,0.93232,0.615
22,,0.01676,0.365,0.44395,0.12732,0.51224,0.0,0.86464,0.54
23,,-0.05092,0.315,0.41163,0.10232,0.47992,-0.05,0.79696,0.465
24,1,1.0,0.45,0.55031,0.21232,0.5476,-0.015,0.82928,0.525
25,6,1.0,0.5,0.60299,0.23732,0.53028,1.0,0.7766,0.5
26,,0.93232,0.45,0.57067,0.21232,0.49796,0.95,0.70892,0.425
27,,0.86464,0.4,0.53835,0.18732,0.46564,0.9,0.64124,0.35
28,,0.79696,0.35,0.50603,0.16232,0.43332,0.85,0.57356,0.275
29,,0.72928,0.3,0.47371,0.13732,0.401,0.8,0.50588,0.2
